Student_Name,Student_ID,Study_Hours,Attendance,Assignment_Score,Exam_Score
Hareem,S001,1.6,92,98,64
Safi,S002,4.1,74,70,79
Rameen,S003,1.8,95,70,60
Zainab,S004,3.9,76,63,91
Roha,S005,6.4,63,89,88
Fahad,S006,3,69,61,50
Samraan,S007,5.5,88,99,46
Usman,S008,4.1,85,76,96
Mubashir,S009,6.6,70,57,56
Ashir,S010,1.6,75,65,54
Ayesha,S011,4.5,84,78,63
Saad,S012,5.5,61,75,65
Abdullah,S013,7.3,95,77,55
Areej,S014,6,88,79,76
Aliha,S015,4.5,83,57,71
Haris,S016,5.1,76,63,92
Zain,S017,1.7,93,50,99
Saif,S018,2.6,73,88,65
Nisha,S019,7.6,98,80,100
Aliya,S020,6.1,68,69,77
